case_id,expected_mode,expected_skill,difficulty,A0_routing,A0_top1,A0_accept,A0_skill,B0_routing,B0_top1,B0_accept,B0_skill,C0_routing,C0_top1,C0_accept,C0_skill,D0_routing,D0_top1,D0_accept,D0_skill,E0_routing,E0_top1,E0_accept,E0_skill,A1_routing,A1_top1,A1_accept,A1_skill,B1_routing,B1_top1,B1_accept,B1_skill,C1_routing,C1_top1,C1_accept,C1_skill,E1_routing,E1_top1,E1_accept,E1_skill,D1_routing,D1_top1,D1_accept,D1_skill
sg-06,skill_guided,proc_employee_offboarding,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-07,skill_guided,proc_product_recall,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
sg-08,skill_guided,proc_recruiting,hard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-09,skill_guided,proc_machine_breakdown,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-10,skill_guided,proc_expense_approval,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-11,skill_guided,case_employee_onboarding,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-12,skill_guided,proc_invoice_dispute,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-13,skill_guided,proc_customer_dispute,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-14,skill_guided,proc_employee_offboarding,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-15,skill_guided,proc_product_recall,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
sg-16,skill_guided,proc_recruiting,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-17,skill_guided,proc_machine_breakdown,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-18,skill_guided,proc_expense_approval,easy,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
sg-19,skill_guided,case_employee_onboarding,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sg-20,skill_guided,proc_product_recall,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
